epoch,categorical_accuracy,loss,val_categorical_accuracy,val_loss
0,0.899230500875,0.357067207025,0.973745594977,0.0830907081295
1,0.960787447669,0.124807184089,0.98067951513,0.0623835227657
2,0.967941887821,0.101482053959,0.982906882032,0.0550229031122
3,0.97092701937,0.0915773252361,0.983932080316,0.0511847294038
4,0.972786792697,0.0856202829204,0.98449964026,0.0497438183044
5,0.973861821091,0.0818692217319,0.985050052402,0.0482978063907
6,0.974715000848,0.0791021464733,0.985236379867,0.0471925453454
7,0.97535551298,0.0770216557531,0.985570055613,0.0465428057885
8,0.975829010787,0.0753416743349,0.985786790469,0.0457089650198
9,0.976275913945,0.0739315294773,0.985911528989,0.0454239096816
10,0.97665117779,0.0727520991519,0.986001184914,0.0448130322346
11,0.976969875125,0.0716848325429,0.985979356141,0.0449750660283
12,0.977202898934,0.0708885705108,0.98612124591,0.0447967123585
13,0.977426307216,0.0701517848427,0.986240527736,0.0445662952262
14,0.977571665543,0.0695794802691,0.986253002766,0.0443340279117
15,0.977762762299,0.0689224279623,0.986339538562,0.044318548831
16,0.977924406952,0.0683978530383,0.986359028617,0.044014586313
17,0.978095579949,0.0677874881149,0.986408144316,0.0437302385911
18,0.978218501808,0.0673603907604,0.98644634607,0.0438467527445
19,0.97836195465,0.0669472444735,0.986612403975,0.0434607294926
20,0.978448580294,0.0666193295505,0.986583559096,0.0434348274868
21,0.97858986736,0.066233135913,0.986780022876,0.0428970800973
22,0.978725610509,0.0657538440369,0.986705958631,0.0429180976227
23,0.978826703089,0.0654333751067,0.986741041338,0.0428732013748
24,0.978848966035,0.0652600471347,0.98673948275,0.0429959007033
25,0.97900697191,0.0648065743006,0.986828361021,0.0429042889721
26,0.979080257313,0.0645118391089,0.986868119756,0.0426622325427
27,0.979103906252,0.0643221883945,0.986881371895,0.0428713238786
28,0.97925255586,0.0640370898322,0.986843950996,0.0429401704608
29,0.979328267447,0.0638659398232,0.986967131742,0.0424957385508
30,0.979365863422,0.0635388076064,0.986878254631,0.0425136536541
31,0.979474925262,0.0632889143282,0.986826799936,0.0426950014383
32,0.979481681758,0.0631149727313,0.987064583981,0.0422772169699
33,0.979595681576,0.0629017003194,0.986956995964,0.0424398305566
34,0.979637868596,0.0627055434622,0.986979604899,0.0423122338288
35,0.979730818232,0.0624829605675,0.987083295133,0.042195090269
36,0.979768154548,0.0621685636082,0.98698896008,0.0419596791524
37,0.979814672038,0.0621041028653,0.987040414864,0.0420779521168
38,0.979846117546,0.0618208455547,0.986969469578,0.0421734542681
39,0.979899479331,0.0617615542572,0.987069261873,0.0420807973937
40,0.979945824528,0.0616343501067,0.986993637982,0.0422700745348
41,0.980003690253,0.0614206102278,0.987095768569,0.0417723064157
42,0.98014419758,0.0610178745368,0.987100445758,0.0418630966007
43,0.980177548333,0.0608631075856,0.987190102832,0.0419704124871
44,0.98022268043,0.0607967651992,0.987246233823,0.0416728148002
45,0.980299864583,0.0606061263176,0.987193999165,0.0415017882219
46,0.980316063354,0.0604153886209,0.987172169657,0.0415379546951
47,0.980316410402,0.0602867358785,0.987217388409,0.0414051653775
48,0.980379560269,0.060157947881,0.98716905187,0.0417102111636
49,0.980462461479,0.059961374787,0.987254031487,0.0415820186472
50,0.980557317228,0.0597142577559,0.987243895987,0.0415073148296
51,0.980531415728,0.059721422272,0.987278197827,0.0414431164213
52,0.980569357839,0.0595392801151,0.987180745778,0.0415330758383
53,0.980666899072,0.0593541397165,0.987335110934,0.0412752938185
54,0.98071783536,0.0591347872936,0.987277418757,0.0412883919866
55,0.980716102442,0.0590786463792,0.987349145087,0.0414935970819
56,0.980728923183,0.0589372518688,0.987308604248,0.0412672636861
57,0.980811477805,0.0587515903991,0.987495711777,0.0408236425391
58,0.9808789593,0.0585236356451,0.987424767116,0.0412325695895
59,0.980901049188,0.0584875896614,0.987392802029,0.0412578540133
60,0.980942629365,0.058278542721,0.987491034856,0.0411606325909
61,0.98101063068,0.0581177704386,0.98742944475,0.0414260760325
62,0.981034712744,0.0580539295105,0.987349143024,0.0412897207341
63,0.981064598672,0.0579617457265,0.987441918264,0.0412161863601
