epoch,pos_accuracy,pos_fmeasure,seg_accuracy,seg_fmeasure
0,0.905477856441,0.901624522129,0.963965362448,0.980810370009
1,0.930290328172,0.926664472821,0.975187418761,0.986847302689
2,0.93826108813,0.935433333881,0.978922510171,0.988827895611
3,0.94183556025,0.940164536382,0.980057079761,0.989439500224
4,0.943851499567,0.942580401682,0.98083215561,0.989847831894
5,0.94578978775,0.944343196573,0.981549277055,0.990222352801
6,0.946445785687,0.944986655674,0.982076827083,0.99050491524
7,0.947586003046,0.946426019623,0.982468204557,0.990705431686
8,0.948357333661,0.94743566342,0.982638094827,0.990795079342
9,0.948830345829,0.947852534808,0.982774276605,0.99088151708
10,0.949162015527,0.948068796244,0.983109925108,0.991056887393
11,0.949005401205,0.948149012735,0.982891072439,0.990940531768
12,0.94957393315,0.948356812638,0.983036400039,0.991019127272
13,0.950020645117,0.949388952546,0.983344039403,0.991188066949
14,0.95002440953,0.949275965821,0.983356301893,0.991184492238
15,0.950320610009,0.949355358815,0.983403335834,0.991211329443
16,0.950449634,0.949622873166,0.983644191913,0.991340091913
17,0.950526676186,0.949756044082,0.983547943187,0.99129462598
18,0.9506857628,0.950176717541,0.983574827278,0.991300608853
19,0.951285964209,0.95036911342,0.983800598585,0.991422042569
20,0.951133283863,0.950502816688,0.983760049825,0.991405672855
21,0.951857416489,0.951068892053,0.984078914542,0.991572387245
22,0.951645968422,0.951117609002,0.984225699224,0.991647144383
23,0.95180326472,0.950882335873,0.984126657375,0.991601188349
24,0.951672366872,0.951181911426,0.983863137172,0.991459330083
25,0.952046287992,0.951642476122,0.983983770727,0.991525350035
26,0.95215871524,0.951693164356,0.984057519894,0.99156352638
27,0.952261107274,0.951310110308,0.984003915576,0.991535974803
28,0.952067576379,0.951505989013,0.984000573511,0.991531369503
29,0.952586322566,0.951635452285,0.984374440729,0.99173059023
30,0.952159627304,0.952057282252,0.984280219079,0.991681105377
31,0.952023457842,0.95153266936,0.983895301599,0.991473518447
32,0.952887013089,0.952425449209,0.984319149446,0.991702354552
33,0.952471700735,0.951925625139,0.984098698165,0.991581640916
34,0.952602350187,0.951675469315,0.984207172433,0.991636868096
35,0.952976040593,0.952561568474,0.984353077992,0.991718804068
36,0.952642934329,0.95199652518,0.984111277012,0.991589117395
37,0.952727938534,0.952534466917,0.98429384753,0.991687123831
38,0.952558926496,0.952128934748,0.984167204089,0.991620330573
39,0.952888907114,0.952449492938,0.984502771169,0.991796533306
40,0.952650750578,0.952164995622,0.98442940111,0.991766091737
41,0.953012475268,0.952738849602,0.984387193865,0.991735509774
42,0.952988410291,0.952976891827,0.984324983505,0.991703280136
43,0.953375542249,0.952697751591,0.984500775533,0.991795951267
44,0.953571951687,0.953087930957,0.984559374611,0.991820429403
45,0.953345199222,0.952820754676,0.984405585625,0.991748836897
46,0.953253957117,0.95268805849,0.984149178029,0.991605727574
47,0.953477528047,0.952972564909,0.984553388451,0.991814751504
48,0.953303621974,0.9528043005,0.984531646631,0.991815766987
49,0.953588206705,0.952984236501,0.984627010019,0.991854873672
50,0.953517858609,0.953233418514,0.984272270824,0.991679671462
51,0.953689530582,0.953193058282,0.984640254679,0.991866728635
52,0.953384686325,0.952623967949,0.984543882038,0.991814389633
53,0.95389371146,0.953354958945,0.98490037147,0.992001207151
54,0.953675259803,0.953208128922,0.984583794134,0.991831742508
55,0.95392207261,0.953268655057,0.984570988747,0.991826625186
56,0.953778939693,0.953337163552,0.98458731575,0.991836140917
57,0.954429964773,0.953966543987,0.984976228542,0.992049804534
58,0.954212075404,0.953554526583,0.985058013293,0.99208752393
59,0.954092114364,0.953578165002,0.984858746652,0.991982557763
60,0.954387989609,0.953989953073,0.985000131296,0.992062295127
61,0.954233987615,0.953572509331,0.984926394464,0.992024442575
62,0.953909479281,0.953212333476,0.984653494193,0.991875705545
63,0.954245089944,0.953642324581,0.984998853115,0.992058038652
